Condition,bern_param_play,bern_param_not_play,dP,impact,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,image_avec_training.started,image_sans_training.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,image_avec_outcome_training.started,image_sans_outcome_training.started,cross_outcome_training.started,joueur_feedback.started,image_outcome_training.started,text_resultat.started,cross_outcome_training.stopped,image_outcome_training.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,text_question_trial23.started,text_numero_joueur.started,cross_fixation.started,image_avec_cues_23.started,image_sans_cues_23.started,image_domicile_cues_23.started,image_exterieur_cues_23.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_feedback23.started,exterieur_feedback23.started,text_question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_feedback23.started,sans_feedback23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,question_mark3.started,text_instr_12.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,participant,session,group,date,expName,psychopyVersion,frameRate,Unnamed: 204,question_mark_training.started,Unnamed: 200,Unnamed: 179,Unnamed: 205
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92245658300817,11.92245658300817,11.92245658300817,11.92245658300817,11.92245658300817,11.92245658300817,11.92245658300817,11.92245658300817,0.0030976660200394,15.543964124983177,3.0,1.5583692080108449,3.0,2.425628291995963,2.0,3.035525625018636,2.0,3.643567749997601,0.0122199592668024,-0.4205702647657841,1.0,0.0,0.0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.079988124984084,16.079988124984084,space,0.8104898750025313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91456570799346,16.91456570799346,space,0.1554687500174623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.10022983298404,17.10022983298404,space,0.1227409160055685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,17.24705395800993,space,0.1290953329880722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,38.4145072500105,space,0.4980242910096422,17.39704395798617,19.402529207989573,31.09707291700761,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,31.76012287498452,right,0.0,0.1523369580099824,31.94557416700991,31.94557416700991,31.94557416700991,31.94557416700991,31.94557416700991,31.94557416700991,31.94557416700991,31.94557416700991,32.44848933300818,32.44848933300818,32.479882874991745,31.084768000000626,31.084768000000626,33.96563179200166,33.96563179200166,33.96563179200166,0.0031528749968856,33.96563179200166,33.96563179200166,0.0,0.6751982500136364,"[-0.016293279022403257, 0.04786150712830957, 0.41446028513238287]","[0.009164969450101833, -0.3095723014256619, -0.29938900203665986]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5858655000047293, 1.2867976250126958, 1.8556527089967858]",['validate'],0.9786150712830956,1.366994249983691,35.79700883300393,35.79700883300393,space,0.5887814160087146,36.41347237498849,38.4145072500105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
1.0,0.2,0.8,-0.6,-6.0,,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.92990899999859,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,39.59207845799392,left,0.0,0.547508541989373,40.179883042001165,40.179883042001165,40.179883042001165,40.179883042001165,40.179883042001165,40.179883042001165,40.179883042001165,40.179883042001165,40.680447166989325,40.680447166989325,40.71166629198706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
1.0,0.2,0.8,-0.6,-6.0,,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.16709187498782,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,42.826579832995776,right,0.0,0.0138984580116812,42.88079937500879,42.88079937500879,42.88079937500879,42.88079937500879,42.88079937500879,42.88079937500879,42.88079937500879,42.88079937500879,43.38372662500478,43.38372662500478,43.41514841699973,44.86404349998338,44.86404349998338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
1.0,0.2,0.8,-0.6,-6.0,,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88162433300749,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,45.54207691698685,left,0.0,0.2205810000014025,45.79417995800031,45.79417995800031,45.79417995800031,45.79417995800031,45.79417995800031,45.79417995800031,45.79417995800031,45.79417995800031,46.29897891700966,46.29897891700966,46.33070566700189,47.78022158300155,47.78022158300155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.80969591700705,47.80969591700705,47.80969591700705,0.0166980419890023,47.80969591700705,47.80969591700705,0.0,1.205668040987803,"[-0.003054989816700611, 0.03767820773930754, 0.051934826883910386, 0.40224032586558045]","[0.010183299389002037, -0.26578411405295316, -0.28818737270875766, -0.3014256619144603]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.087789083016105, 1.9829117500048596, 2.318303375010146, 2.8549839580082335]",['validate'],1.0,2.4301470000064,50.64340537498356,50.64340537498356,space,0.6060221240040846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89943012499134,52.56290183300735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,51.30245212500449,space,0.5720657500205562,0.0,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,52.56290183300735,left,1.0,0.3835071249923203,0.0,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.026283666986274,53.48532574999263,53.48532574999263,53.55041987498407,55.442952082987176,55.442952082987176,[0],,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.480335333006224,56.14371087501058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,56.14371087501058,right,0.0,0.512961083004484,0.0,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,56.73761341700447,57.19772133301012,57.19772133301012,57.262823333003325,,,[0],,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.19916804198874,59.88110154200695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,59.88110154200695,space,0.0,0.4089529159828089,1.0,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.36680412499118,60.8197915419878,60.8197915419878,60.88731250001001,,,[1],,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Troisième et dernière saison 
 L'emplacement du match a un impact sur les performances de l'équipe. Vous pouvez choisir de faire participer le nouveau joueur au match ou de sélectionner le lieu du match (à domicile ou à l'extérieur). Un entraîneur adjoint vous accompagnera et prendra une décision complémentaire pour chaque match. 
 Appuyez sur la touche espace pour commencer. ",0.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.94621354198898,108.61363837498357,,,,,,,,,,,,,,,,,,,,,,,,,,62.83792349998839,62.83792349998839,62.83792349998839,0.016323874995578,62.83792349998839,62.83792349998839,0.0,1.4028816670179367,"[0.0050916496945010185, 0.05295315682281059, 0.3869653767820774, 0.3859470468431772]","[0.007128309572301426, -0.3085539714867617, -0.2790224032586558, -0.29022403258655805]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.2832888749835547, 2.011863583000377, 2.5491397499863524, 2.881436916999519]",['validate'],1.0,2.122828292020131,65.71350733298459,65.71350733298459,space,0.5239815830136649,,,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,66.27110158299911,space,41.657586874993285,1.0,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,108.61363837498357,down,0.0,3.749650125013432,1.0,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.44148354200296,112.88418941700364,112.88418941700364,112.98155079199933,,,[0],110.59690616698936,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Troisième et dernière saison 
 L'emplacement du match a un impact sur les performances de l'équipe. Vous pouvez choisir de faire participer le nouveau joueur au match ou de sélectionner le lieu du match (à domicile ou à l'extérieur). Un entraîneur adjoint vous accompagnera et prendra une décision complémentaire pour chaque match. 
 Appuyez sur la touche espace pour commencer. ",0.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.88082762499108,115.54216662500404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,115.54216662500404,left,1.0,0.601272500003688,1.0,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.22220829199068,116.68499566699028,116.68499566699028,116.7503431669902,,,[1],,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
11.0,,,,0.0,"Troisième et dernière saison 
 L'emplacement du match a un impact sur les performances de l'équipe. Vous pouvez choisir de faire participer le nouveau joueur au match ou de sélectionner le lieu du match (à domicile ou à l'extérieur). Un entraîneur adjoint vous accompagnera et prendra une décision complémentaire pour chaque match. 
 Appuyez sur la touche espace pour commencer. ",0.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.66015570799937,119.32504424999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,119.32504424999934,up,0.0,0.6266208330052905,0.0,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.03845395799726,120.48400175001008,120.48400175001008,120.58112275000894,,,[0],,,,,,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.49549995799316,122.49549995799316,122.49549995799316,0.0029650000215042,122.49549995799316,122.49549995799316,0.0,2.5071044999931478,"[0.002036659877800407, 0.051934826883910386, 0.44908350305498984]","[0.0050916496945010185, -0.29327902240325865, -0.3054989816700611]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.388384124991717, 3.7942812090041116, 5.520139125001151]",['validate'],1.0,3.932949915993959,127.99387045798358,127.99387045798358,space,2.6205133750045206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6415192919958,130.6415192919958,space,10.094126875017537,203238.0,1.0,A,2023-04-12_13h53.04.278,vb_task_exp_1,2022.2.5,60.24367082644082,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,0.0030196250008884,27.792715250019683,6.0,8.492813332995865,3.0,9.364565500000026,3.0,11.67101212500711,2.009257544899093,12.854134917026386,0.0030549898167006,-0.4114052953156822,1.0,0.0,0.0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.301992624998093,28.301992624998093,space,12.960975166002754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.287593167013256,41.287593167013256,space,12.04476020799484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.354859750019386,53.354859750019386,space,43.83533691597404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,space,210.96834266599035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,,,,
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,space,4.538463124976261,308.1996800000197,310.2107178750157,324.71921920901514,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,left,0.0,0.3463464579836,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,326.05059125000844,326.05059125000844,326.0824952920084,327.5322548340191,327.5322548340191,327.5830544590135,327.5830544590135,327.5830544590135,0.0167995840020012,327.5830544590135,327.5830544590135,7.0,4.144103124999674,"[0.3258655804480652, 0.04684317718940937, 0.43075356415478616]","[-0.003054989816700611, -0.3105906313645621, -0.2953156822810591]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.02333329198882, 5.59953720800695, 7.027451750007458]",['validate'],0.9684317718940937,5.712962541001616,334.5697617090191,334.5697617090191,space,42.60781962398323,377.1984857089992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016.0,1.0,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,,312.6108782920055,,,
